Name;Author;Category;Price
Jane Eyre;Bronte, Charlotte;Gothic;10
Hyperbole and a Half;Brosh, Allie;Comedy;11
The Outsider;Camus, Albert;Psychological Fiction;12
Crime and Punishment;Dostoevsky, Fyodor;Psychological Fiction;13
Farewell to Arms;Hemingway, Ernest;Realism;14
The Left Hand of Darkness;LeGuin, Ursula;Science-Fiction;15
The Tell-Tale Heart;Poe, Edgar Allen;Gothic;16
Return of the Primitive;Rand, Ayn;Philosophy;17
Tooth and Nail;Rankin, Ian;Crime;18
Harry Potter and the Goblet of Fire;Rowling, J. K.;Children;19
Covenant and Conversation: Exodus ;Sacks, Jonathan;Religion;20
Rationality and Freedom;Sen, Amartya;Science;21
Frankenstein;Shelley, Mary;Horror;22
Wealth of Nations;Smith, Adam;Economics;23
The Grapes of Wrath;Steinbeck, John;American Fiction;24
Ann Veronica;Wells, H. G.;Science-Fiction;25
A Vindication of the Rights of Woman;Wollstonecraft, Mary;Nonfiction;26
